7/28/2022 12:14:39 AM,G:\downloads\2. Unit 2 - The Fixed Determination of an Indomitable Will by Bornstein (1211).pdf,G:\moved-downloads\PDF file\2021\September\2. Unit 2 - The Fixed Determination of an Indomitable Will by Bornstein (1211).pdf,
7/28/2022 12:14:39 AM,G:\downloads\2.jpg,G:\moved-downloads\Image file\2022\May\2.jpg,
7/28/2022 12:14:39 AM,G:\downloads\2000 big idea topic proposal - 2020.docx,G:\moved-downloads\Word processor and text file\2021\January\2000 big idea topic proposal - 2020.docx,
7/28/2022 12:14:39 AM,G:\downloads\2000 big idea topic proposal - example.docx,G:\moved-downloads\Word processor and text file\2021\January\2000 big idea topic proposal - example.docx,
7/28/2022 12:14:40 AM,G:\downloads\200455406_1.pdf,G:\moved-downloads\PDF file\2021\November\200455406_1.pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_19(1).pdf,G:\moved-downloads\PDF file\2021\August\200455406_19(1).pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_19.pdf,G:\moved-downloads\PDF file\2021\August\200455406_19.pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_20.pdf,G:\moved-downloads\PDF file\2021\August\200455406_20.pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_21.pdf,G:\moved-downloads\PDF file\2021\August\200455406_21.pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_22.pdf,G:\moved-downloads\PDF file\2021\August\200455406_22.pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_23.pdf,G:\moved-downloads\PDF file\2021\August\200455406_23.pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_24.pdf,G:\moved-downloads\PDF file\2021\August\200455406_24.pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_25.pdf,G:\moved-downloads\PDF file\2021\August\200455406_25.pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_26(1).pdf,G:\moved-downloads\PDF file\2021\August\200455406_26(1).pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_26(2).pdf,G:\moved-downloads\PDF file\2022\July\200455406_26(2).pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_26.pdf,G:\moved-downloads\PDF file\2021\August\200455406_26.pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_27.pdf,G:\moved-downloads\PDF file\2021\August\200455406_27.pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_29.pdf,G:\moved-downloads\PDF file\2021\August\200455406_29.pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_32.pdf,G:\moved-downloads\PDF file\2022\April\200455406_32.pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_33(1).pdf,G:\moved-downloads\PDF file\2022\April\200455406_33(1).pdf,
7/28/2022 12:14:40 AM,G:\downloads\200455406_33.pdf,G:\moved-downloads\PDF file\2022\April\200455406_33.pdf,
7/28/2022 12:14:40 AM,G:\downloads\200507090_1.pdf,G:\moved-downloads\PDF file\2021\August\200507090_1.pdf,
7/28/2022 12:14:40 AM,G:\downloads\2019-standing-tee-time-booking-information-package(1).pdf,G:\moved-downloads\PDF file\2022\April\2019-standing-tee-time-booking-information-package(1).pdf,
7/28/2022 12:14:40 AM,G:\downloads\2019-standing-tee-time-booking-information-package(2).pdf,G:\moved-downloads\PDF file\2022\April\2019-standing-tee-time-booking-information-package(2).pdf,
7/28/2022 12:14:40 AM,G:\downloads\2019-standing-tee-time-booking-information-package.pdf,G:\moved-downloads\PDF file\2022\February\2019-standing-tee-time-booking-information-package.pdf,
